account_id,start_date,plan_tier,seats,mrr_amount,arr_amount,is_trial,upgrade_flag,downgrade_flag,churn_flag,billing_frequency,auto_renew_flag,cohort_month
A-3c1a3f,2023-12-23,Enterprise,14,2786,33432,0,0,0,1,monthly,1,2023-12
A-9b9fe9,2024-06-11,Pro,17,833,9996,0,0,0,0,monthly,1,2024-06
A-659280,2024-11-25,Enterprise,62,0,0,1,1,0,0,annual,0,2024-11
A-e7a1e2,2024-11-23,Enterprise,5,995,11940,0,0,0,1,monthly,1,2024-11
A-ba6516,2024-01-10,Enterprise,27,5373,64476,0,0,0,0,monthly,1,2024-01
A-fa2041,2024-08-13,Pro,15,735,8820,0,0,0,0,monthly,1,2024-08
A-417d2f,2023-12-30,Enterprise,4,796,9552,0,0,0,0,annual,1,2023-12
A-5f2961,2024-12-23,Basic,16,304,3648,0,0,0,0,annual,1,2024-12
A-cc8c8f,2024-11-27,Enterprise,23,4577,54924,0,0,0,0,annual,0,2024-11
A-80eeb6,2024-10-27,Pro,22,1078,12936,0,0,0,0,annual,0,2024-10
A-f03140,2024-02-06,Pro,27,1323,15876,0,0,0,0,annual,1,2024-02
A-3a5ad8,2024-12-25,Enterprise,22,0,0,1,0,0,0,annual,1,2024-12
A-f17767,2023-09-17,Pro,26,1274,15288,0,1,1,0,monthly,1,2023-09
A-7920cc,2024-07-17,Basic,39,741,8892,0,0,0,0,annual,1,2024-07
A-8ae3fc,2024-10-12,Enterprise,88,0,0,1,0,0,0,monthly,1,2024-10
A-0cc442,2024-09-18,Pro,45,2205,26460,0,0,0,0,monthly,1,2024-09
A-86902e,2023-07-21,Pro,34,0,0,1,0,0,1,monthly,1,2023-07
A-ef84cf,2024-06-06,Basic,8,152,1824,0,0,0,1,annual,0,2024-06
A-b30291,2024-04-25,Basic,5,95,1140,0,0,0,0,monthly,1,2024-04
A-e19ff6,2024-03-06,Pro,8,392,4704,0,0,0,0,monthly,1,2024-03
A-dec005,2024-03-31,Pro,21,0,0,1,0,0,0,monthly,1,2024-03
A-2e3bad,2024-12-04,Basic,61,1159,13908,0,0,0,1,monthly,1,2024-12
A-f5641b,2024-11-30,Basic,31,589,7068,0,0,0,0,monthly,1,2024-11
A-aa9511,2024-02-09,Enterprise,97,19303,231636,0,0,0,0,annual,1,2024-02
A-075038,2024-02-25,Pro,17,833,9996,0,0,0,0,annual,1,2024-02
A-cea1f0,2024-10-07,Pro,8,392,4704,0,0,0,0,annual,0,2024-10
A-a1b80b,2024-08-15,Pro,16,784,9408,0,0,0,0,annual,1,2024-08
A-b2225d,2024-11-03,Pro,50,2450,29400,0,0,0,0,monthly,0,2024-11
A-b9eed8,2024-08-01,Pro,11,539,6468,0,0,0,0,monthly,0,2024-08
A-bcf87c,2024-08-22,Enterprise,31,6169,74028,0,0,0,1,monthly,1,2024-08
A-9f9299,2024-06-11,Enterprise,28,5572,66864,0,0,0,0,annual,0,2024-06
A-10b8f2,2023-06-16,Basic,51,969,11628,0,0,0,0,annual,1,2023-06
A-95b24a,2024-06-28,Enterprise,38,0,0,1,1,1,0,monthly,1,2024-06
A-0651a4,2024-12-25,Enterprise,65,12935,155220,0,0,0,0,annual,1,2024-12
A-fb186e,2024-12-28,Enterprise,29,0,0,1,0,0,0,annual,1,2024-12
A-40906c,2024-06-21,Enterprise,92,0,0,1,0,0,0,annual,0,2024-06
A-40a557,2024-02-12,Enterprise,16,3184,38208,0,0,0,0,annual,1,2024-02
A-3a5ad8,2024-09-07,Enterprise,9,0,0,1,1,0,0,monthly,0,2024-09
